county name,Under 5 years %,5 to 9 years %,10 to 14 years %,15 to 19 years %,20 to 24 years %,25 to 29 years %,30 to 34 years %,35 to 39 years %,40 to 44 years %,45 to 49 years %,50 to 54 years %,55 to 59 years %,60 to 64 years %,65 to 69 years %,70 to 74 years %,75 to 79 years %,80 to 84 years %,85 years and over %,16 years and over %,18 years and over %,21 years and over %,62 years and over %,65 years and over %,Male population %,Under 5 years %,5 to 9 years %,10 to 14 years %,15 to 19 years %,20 to 24 years %,25 to 29 years %,30 to 34 years %,35 to 39 years %,40 to 44 years %,45 to 49 years %,50 to 54 years %,55 to 59 years %,60 to 64 years %,65 to 69 years %,70 to 74 years %,75 to 79 years %,80 to 84 years %,85 years and over %,16 years and over %,18 years and over %,21 years and over %,62 years and over %,65 years and over %,Female population %,Under 5 years %,5 to 9 years %,10 to 14 years %,15 to 19 years %,20 to 24 years %,25 to 29 years %,30 to 34 years %,35 to 39 years %,40 to 44 years %,45 to 49 years %,50 to 54 years %,55 to 59 years %,60 to 64 years %,65 to 69 years %,70 to 74 years %,75 to 79 years %,80 to 84 years %,85 years and over %,16 years and over %,18 years and over %,21 years and over %,62 years and over %,65 years and over %,Both sexes %,Male %,Female %,One Race %,White %,Black or African American %,American Indian and Alaska Native %,Asian %,Native Hawaiian and Other Pacific Islander %,Some Other Race %,Two or More Races %,Total races tallied %,White alone or in combination with one or more other races %,Black or African American alone or in combination with one or more other races %,American Indian and Alaska Native alone or in combination with one or more other races %,Asian alone or in combination with one or more other races %,Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races %,Some Other Race alone or in combination with one or more other races %,Hispanic or Latino (of any race) %,Not Hispanic or Latino %,Hispanic or Latino %,White alone %,Black or African American alone %,American Indian and Alaska Native alone %,Asian alone %,Native Hawaiian and Other Pacific Islander alone %,Some Other Race alone %,Two or More Races %,Not Hispanic or Latino %,White alone %,Black or African American alone %,American Indian and Alaska Native alone %,Asian alone %,Native Hawaiian and Other Pacific Islander alone %,Some Other Race alone %,Two or More Races %,In households %,Householder %,Opposite-sex spouse %,Same-sex spouse %,Opposite-sex unmarried partner %,Same-sex unmarried partner %,Child [2] %,Under 18 years %,Grandchild %,Under 18 years %,Other relatives %,Nonrelatives %,In group quarters %,Institutionalized population: %,Male %,Female %,Noninstitutionalized population: %,Male %,Female %,Total households %,Married couple household %,With own children under 18 [3] %,Cohabiting couple household %,With own children under 18 [3] %,"Male householder, no spouse or partner present: %",Living alone %,65 years and over %,With own children under 18 [3] %,"Female householder, no spouse or partner present: %",Living alone %,65 years and over %,With own children under 18 [3] %,Households with individuals under 18 years %,Households with individuals 65 years and over %,Total housing units %,Occupied housing units %,Vacant housing units %,For rent %,"Rented, not occupied %",For sale only %,"Sold, not occupied %","For seasonal, recreational, or occasional use %",All other vacants %,Homeowner vacancy rate (percent) [4] %,Rental vacancy rate (percent) [5] %,Occupied housing units %,Owner-occupied housing units %,Renter-occupied housing units %
Placer   ,5.1,6.3,7.0,6.6,4.9,4.8,5.5,6.6,6.5,6.3,6.4,6.8,6.6,6.0,5.5,3.9,2.6,2.6,80.2,77.4,73.9,24.4,20.5,100.0,5.4,6.6,7.3,7.0,5.2,4.9,5.6,6.5,6.6,6.3,6.4,6.8,6.4,5.6,5.2,3.6,2.3,2.1,79.2,76.2,72.5,22.5,18.8,100.0,4.8,6.0,6.7,6.2,4.7,4.6,5.5,6.6,6.4,6.3,6.4,6.9,6.7,6.3,5.7,4.2,2.8,3.0,81.1,78.5,75.2,26.1,22.1,(X),(X),(X),87.9,71.3,1.7,0.9,8.8,0.3,5.0,12.1,113.1,82.8,2.9,3.4,11.8,0.9,11.2,15.0,85.0,15.0,4.0,0.1,0.4,0.2,0.0,4.5,5.8,85.0,67.3,1.6,0.5,8.6,0.2,0.5,6.3,98.9,37.6,21.1,0.2,2.0,0.1,29.7,20.7,1.6,1.2,3.9,2.8,1.1,0.6,0.3,0.3,0.5,0.3,0.3,100.0,56.5,22.5,5.5,1.6,14.4,9.1,3.7,1.7,23.5,13.9,8.6,3.6,32.3,37.4,100.0,88.2,11.8,1.3,0.1,0.6,0.2,8.5,1.0,(X),(X),100.0,71.7,28.3
Plumas   ,4.3,4.7,5.4,4.5,3.5,4.5,5.0,5.7,4.9,4.4,5.4,7.7,10.0,10.5,8.6,5.8,2.8,2.2,84.6,82.6,80.1,36.0,29.8,100.0,4.5,4.6,5.7,4.5,3.8,4.7,5.1,5.8,4.8,4.8,5.4,6.9,9.3,10.6,8.6,6.2,3.1,1.8,84.1,82.3,79.5,35.9,30.2,100.0,4.0,4.8,5.1,4.6,3.3,4.4,5.0,5.5,5.1,4.1,5.5,8.5,10.6,10.3,8.7,5.3,2.5,2.6,85.1,82.8,80.8,36.0,29.4,(X),(X),(X),90.8,83.9,0.5,2.3,0.8,0.2,3.0,9.2,110.5,92.7,1.6,6.3,2.0,0.7,7.1,9.6,90.4,9.6,3.1,0.0,0.4,0.0,0.0,2.5,3.6,90.4,80.8,0.5,1.9,0.7,0.2,0.6,5.6,99.4,46.5,21.0,0.1,3.2,0.1,21.2,14.9,1.8,1.3,2.7,2.7,0.6,0.4,0.2,0.2,0.2,0.1,0.1,100.0,45.4,10.3,7.2,2.3,22.6,17.3,7.9,1.8,24.8,16.2,9.0,3.4,21.5,47.3,100.0,59.9,40.1,1.2,0.1,1.4,0.6,33.7,3.1,(X),(X),100.0,70.4,29.6
Riverside   ,5.8,6.7,7.6,7.5,6.9,6.6,6.5,6.5,6.2,6.1,6.2,6.3,5.9,4.9,4.1,2.8,1.8,1.7,78.4,75.4,70.9,18.8,15.3,100.0,5.9,6.9,7.8,7.8,7.1,6.8,6.6,6.5,6.1,6.0,6.2,6.3,5.8,4.7,3.8,2.6,1.6,1.4,77.8,74.7,70.1,17.5,14.1,100.0,5.6,6.5,7.3,7.3,6.6,6.4,6.4,6.6,6.2,6.1,6.2,6.3,5.9,5.1,4.3,3.0,2.0,2.0,79.1,76.2,71.8,20.0,16.5,(X),(X),(X),83.2,41.2,6.5,1.8,7.1,0.3,26.4,16.8,117.9,56.7,8.2,3.9,9.0,0.8,39.4,49.7,50.3,49.7,8.6,0.4,1.3,0.3,0.1,25.8,13.3,50.3,32.6,6.1,0.5,6.8,0.3,0.5,3.5,98.5,31.6,16.3,0.4,2.0,0.2,32.4,20.0,3.6,2.9,8.2,3.9,1.5,0.8,0.6,0.2,0.7,0.3,0.3,100.0,52.6,22.2,6.9,2.9,16.1,8.8,3.6,2.0,24.4,10.6,6.4,5.2,38.4,34.4,100.0,90.0,10.0,1.7,0.2,0.9,0.3,5.9,1.1,(X),(X),100.0,66.6,33.4
Sacramento   ,5.9,6.5,6.8,6.4,6.5,7.4,7.6,7.2,6.3,6.0,6.1,6.3,6.0,5.0,4.0,2.5,1.7,1.8,79.4,76.8,73.0,18.5,15.0,100.0,6.2,6.8,7.2,6.8,6.8,7.5,7.8,7.3,6.4,6.0,6.0,6.2,5.7,4.7,3.7,2.2,1.4,1.4,78.5,75.7,71.7,16.7,13.4,100.0,5.7,6.2,6.5,6.1,6.2,7.3,7.4,7.1,6.3,6.0,6.1,6.4,6.2,5.3,4.3,2.8,1.9,2.2,80.3,77.8,74.3,20.1,16.5,(X),(X),(X),86.6,45.2,9.6,1.2,17.8,1.2,11.7,13.4,114.8,56.9,12.5,3.7,21.2,2.0,18.5,23.6,76.4,23.6,4.1,0.4,0.7,0.3,0.1,11.1,6.9,76.4,41.0,9.2,0.5,17.4,1.1,0.6,6.5,97.8,35.6,15.8,0.3,2.6,0.2,29.9,20.0,2.4,1.9,7.0,4.1,2.2,0.9,0.7,0.3,1.2,0.6,0.6,100.0,45.1,19.4,7.7,2.6,18.3,10.8,3.3,2.0,28.9,14.3,6.9,5.4,33.5,30.4,100.0,96.1,3.9,1.7,0.1,0.6,0.2,0.3,1.0,(X),(X),100.0,57.1,42.9
San Benito   ,6.4,6.8,7.7,7.3,6.4,6.2,6.8,7.0,6.6,6.2,6.5,6.5,6.0,4.7,3.7,2.3,1.4,1.5,77.6,74.6,70.4,17.1,13.6,100.0,6.4,6.9,7.9,7.6,6.8,6.3,6.6,7.2,6.6,6.2,6.4,6.3,5.9,4.5,3.6,2.2,1.3,1.1,77.3,74.2,69.6,16.1,12.8,100.0,6.3,6.7,7.6,7.0,6.0,6.1,7.0,6.9,6.5,6.2,6.5,6.7,6.1,5.0,3.7,2.5,1.5,1.9,77.9,75.1,71.1,18.0,14.5,(X),(X),(X),82.1,42.4,1.0,2.6,3.8,0.3,32.1,17.9,119.1,59.2,1.7,5.1,5.7,0.8,46.6,61.1,38.9,61.1,11.6,0.2,2.2,0.4,0.1,31.6,15.0,38.9,30.8,0.7,0.3,3.4,0.2,0.5,2.9,99.3,30.4,17.6,0.1,2.2,0.1,33.9,20.7,3.6,2.7,8.0,3.5,0.7,0.2,0.1,0.2,0.5,0.3,0.2,100.0,58.5,25.5,7.3,3.4,13.9,6.9,2.5,1.8,20.4,8.0,4.7,4.9,43.4,33.0,100.0,95.7,4.3,0.8,0.1,0.8,0.5,0.5,1.6,(X),(X),100.0,67.2,32.8
San Bernardino   ,6.2,7.0,7.6,7.4,7.3,7.5,7.1,6.7,6.2,6.1,6.1,6.2,5.7,4.6,3.4,2.2,1.4,1.2,77.7,74.7,70.3,16.1,12.7,100.0,6.4,7.2,7.9,7.7,7.7,7.7,7.2,6.7,6.2,5.9,6.1,6.1,5.6,4.4,3.2,2.0,1.2,0.9,77.0,73.9,69.2,14.9,11.7,100.0,6.0,6.8,7.4,7.1,6.9,7.2,7.1,6.7,6.3,6.2,6.2,6.3,5.9,4.8,3.6,2.3,1.5,1.5,78.4,75.5,71.3,17.2,13.8,(X),(X),(X),83.4,35.9,8.5,1.9,8.4,0.3,28.5,16.6,117.7,51.1,10.2,4.1,9.9,0.7,41.6,53.7,46.3,53.7,9.9,0.5,1.5,0.3,0.1,27.9,13.5,46.3,25.9,7.9,0.4,8.1,0.3,0.6,3.1,98.1,30.6,15.2,0.2,2.1,0.1,33.2,20.2,4.2,3.3,8.5,3.9,1.9,1.1,0.8,0.3,0.8,0.6,0.3,100.0,50.3,21.9,7.3,3.5,16.6,8.5,2.8,2.2,25.8,9.5,4.8,6.3,40.9,29.9,100.0,91.2,8.8,1.9,0.2,0.8,0.3,4.3,1.3,(X),(X),100.0,60.8,39.2
San Diego   ,5.3,5.8,6.2,6.5,8.0,7.7,7.5,7.1,6.3,6.1,6.1,6.3,5.9,5.0,4.0,2.6,1.7,1.9,81.5,79.1,74.6,18.6,15.2,100.0,5.4,6.0,6.3,6.8,8.7,8.0,7.6,7.2,6.3,6.0,6.0,6.2,5.7,4.7,3.7,2.3,1.5,1.4,81.0,78.5,73.7,17.0,13.7,100.0,5.2,5.6,6.0,6.2,7.3,7.4,7.4,7.0,6.4,6.2,6.2,6.4,6.1,5.2,4.3,2.8,2.0,2.3,82.1,79.7,75.6,20.2,16.6,(X),(X),(X),84.2,49.5,4.7,1.2,12.5,0.5,15.8,15.8,117.0,64.2,6.4,3.1,15.7,1.1,26.6,33.9,66.1,33.9,6.4,0.3,0.9,0.3,0.1,15.2,10.7,66.1,43.1,4.4,0.4,12.1,0.4,0.5,5.1,96.5,35.1,16.9,0.3,2.3,0.2,27.8,17.9,2.3,1.8,6.6,5.1,3.5,0.8,0.5,0.3,2.7,1.8,0.9,100.0,49.0,20.3,6.9,1.8,18.3,10.7,3.0,1.7,25.8,12.5,6.0,4.4,32.2,30.1,100.0,94.3,5.7,2.2,0.2,0.4,0.2,1.6,1.0,(X),(X),100.0,53.5,46.5
San Francisco   ,4.0,3.5,3.5,3.5,6.2,11.3,11.8,9.0,6.8,6.3,6.2,5.9,5.5,5.0,4.2,2.6,2.0,2.4,88.4,87.0,84.7,19.5,16.3,100.0,4.0,3.5,3.4,3.4,5.9,11.3,12.2,9.5,7.1,6.6,6.6,6.3,5.6,4.9,4.0,2.3,1.7,1.7,88.4,87.1,84.8,17.9,14.6,100.0,4.0,3.5,3.5,3.6,6.5,11.4,11.5,8.6,6.5,6.0,5.9,5.6,5.5,5.2,4.6,2.9,2.3,3.0,88.3,87.0,84.5,21.2,18.0,(X),(X),(X),90.1,41.3,5.3,0.7,33.9,0.4,8.4,9.9,110.9,50.2,6.8,2.1,37.5,0.8,13.4,15.6,84.4,15.6,2.3,0.2,0.6,0.3,0.0,7.6,4.7,84.4,39.1,5.2,0.2,33.7,0.4,0.7,5.2,96.8,42.6,13.6,0.8,3.3,0.6,17.6,10.9,1.3,0.9,6.8,10.3,3.2,0.5,0.3,0.2,2.7,1.7,1.1,100.0,33.8,11.6,9.1,0.8,27.3,18.4,4.4,1.0,29.7,17.8,6.8,2.4,18.6,27.7,100.0,91.4,8.6,3.8,0.4,0.4,0.3,1.2,2.4,(X),(X),100.0,34.1,65.9
San Joaquin   ,6.4,7.3,8.0,7.7,6.6,6.7,6.8,6.8,6.4,6.1,6.0,6.0,5.6,4.6,3.6,2.4,1.5,1.6,76.7,73.6,69.2,16.9,13.7,100.0,6.6,7.5,8.3,8.0,6.9,6.9,6.8,6.8,6.3,6.1,6.1,6.0,5.5,4.4,3.4,2.1,1.3,1.1,76.0,72.8,68.2,15.6,12.4,100.0,6.3,7.1,7.7,7.4,6.3,6.5,6.7,6.8,6.4,6.1,6.0,6.0,5.7,4.8,3.9,2.6,1.7,2.0,77.3,74.3,70.1,18.3,15.0,(X),(X),(X),85.5,34.3,7.7,1.6,17.9,0.7,23.3,14.5,115.8,47.1,9.7,3.9,20.8,1.4,32.9,41.8,58.2,41.8,6.6,0.4,1.2,0.6,0.1,22.8,10.1,58.2,27.7,7.3,0.4,17.3,0.6,0.5,4.4,97.7,30.9,15.6,0.1,2.1,0.1,33.7,22.0,3.4,2.7,8.4,3.3,2.3,1.3,1.0,0.3,1.0,0.6,0.5,100.0,50.7,23.5,7.2,3.5,16.9,8.7,3.0,2.5,25.1,10.3,5.7,6.2,41.7,31.4,100.0,95.9,4.1,1.5,0.1,0.7,0.2,0.3,1.3,(X),(X),100.0,59.3,40.7
San Luis Obispo   ,4.4,4.9,5.3,6.2,9.5,5.7,6.0,6.2,5.6,5.1,5.5,6.6,7.3,7.2,6.0,3.8,2.3,2.4,84.2,82.1,76.4,26.2,21.7,100.0,4.6,5.1,5.6,6.0,9.9,6.1,6.3,6.4,5.8,5.2,5.5,6.3,6.9,7.0,5.8,3.7,2.0,1.9,83.7,81.4,76.2,24.5,20.3,100.0,4.3,4.8,5.1,6.4,9.1,5.2,5.7,6.0,5.3,5.0,5.4,6.8,7.8,7.4,6.1,4.0,2.5,3.0,84.7,82.7,76.5,27.8,23.0,(X),(X),(X),86.5,70.2,1.6,1.1,3.7,0.1,9.7,13.5,114.4,83.2,2.5,3.6,5.8,0.6,18.7,24.0,76.0,24.0,5.3,0.1,0.7,0.1,0.0,9.1,8.7,76.0,65.0,1.5,0.4,3.5,0.1,0.6,4.8,94.2,38.2,18.4,0.2,2.4,0.1,23.3,15.7,1.8,1.3,3.7,6.1,5.8,1.9,1.6,0.2,3.9,2.0,1.9,100.0,48.9,15.8,6.6,1.8,17.9,11.2,4.4,1.4,26.6,15.4,8.8,3.4,25.7,39.5,100.0,87.1,12.9,1.6,0.4,0.7,0.3,8.1,1.8,(X),(X),100.0,61.5,38.5
San Mateo   ,5.2,5.6,5.8,5.6,5.5,7.1,7.8,7.6,7.0,6.8,6.7,6.7,6.1,5.1,4.3,2.9,2.0,2.2,82.2,79.8,76.7,20.1,16.5,100.0,5.5,5.8,6.1,5.9,5.8,7.4,8.2,7.8,7.0,6.8,6.6,6.6,5.9,4.9,3.9,2.5,1.7,1.7,81.4,79.0,75.7,18.1,14.7,100.0,5.0,5.3,5.6,5.4,5.1,6.8,7.5,7.4,7.0,6.7,6.8,6.8,6.3,5.4,4.6,3.2,2.3,2.8,82.9,80.6,77.7,21.9,18.3,(X),(X),(X),87.7,39.3,2.1,0.9,30.1,1.2,14.1,12.3,113.4,50.5,3.1,2.2,34.0,1.9,21.7,25.0,75.0,25.0,3.2,0.1,0.8,0.3,0.1,13.4,7.2,75.0,36.1,1.9,0.1,29.8,1.2,0.8,5.1,98.8,35.2,18.5,0.3,2.1,0.1,27.4,17.5,1.9,1.4,7.5,5.6,1.2,0.4,0.2,0.2,0.8,0.4,0.4,100.0,53.3,22.9,6.3,1.5,16.3,9.5,3.0,1.3,24.1,12.6,6.5,3.2,32.9,32.4,100.0,95.0,5.0,2.1,0.3,0.3,0.2,0.7,1.3,(X),(X),100.0,56.5,43.5
Santa Barbara   ,5.5,6.0,6.4,7.8,9.4,7.2,6.7,6.3,5.6,5.3,5.4,5.9,5.8,5.1,4.2,2.9,2.0,2.4,80.8,78.3,71.9,20.1,16.7,100.0,5.7,6.2,6.6,7.8,9.6,7.6,7.0,6.5,5.6,5.4,5.4,5.8,5.7,5.0,4.0,2.6,1.8,1.9,80.1,77.6,71.5,18.6,15.2,100.0,5.4,5.7,6.3,7.8,9.3,6.9,6.4,6.1,5.5,5.3,5.4,6.0,5.9,5.3,4.4,3.1,2.3,3.0,81.4,78.9,72.4,21.5,18.1,(X),(X),(X),82.2,50.1,1.6,2.1,5.9,0.2,22.2,17.8,118.8,67.0,2.7,4.4,8.0,0.5,36.3,47.0,53.0,47.0,8.9,0.2,1.8,0.3,0.0,21.7,14.1,53.0,41.2,1.4,0.4,5.7,0.1,0.5,3.7,95.4,33.1,15.5,0.2,2.3,0.1,27.2,17.8,2.6,2.0,6.6,7.8,4.6,1.2,0.9,0.3,3.4,1.6,1.8,100.0,47.3,18.9,7.4,2.6,18.2,10.3,3.9,1.7,27.1,13.7,7.8,4.5,32.6,34.8,100.0,93.7,6.3,1.5,0.2,0.5,0.2,2.4,1.4,(X),(X),100.0,52.4,47.6
Santa Clara   ,5.3,5.7,6.2,6.2,6.3,8.1,8.1,7.7,6.9,6.9,6.7,6.4,5.6,4.3,3.4,2.5,1.8,1.9,81.5,79.0,75.4,17.0,13.8,100.0,5.4,5.9,6.3,6.4,6.6,8.6,8.4,7.8,6.9,6.8,6.7,6.4,5.5,4.1,3.1,2.2,1.5,1.4,81.1,78.6,74.8,15.5,12.3,100.0,5.1,5.6,6.1,6.1,6.0,7.6,7.9,7.6,7.0,7.0,6.8,6.4,5.6,4.6,3.7,2.8,2.0,2.3,81.9,79.4,76.0,18.6,15.3,(X),(X),(X),89.2,32.2,2.3,1.1,39.2,0.4,14.0,10.8,111.7,42.1,3.2,2.5,42.3,0.8,20.8,25.2,74.8,25.2,3.5,0.1,1.0,0.3,0.0,13.5,6.8,74.8,28.7,2.2,0.2,38.9,0.3,0.5,4.0,98.0,33.9,18.4,0.2,1.8,0.1,28.2,18.4,1.9,1.4,7.9,5.6,2.0,0.4,0.2,0.2,1.6,0.9,0.7,100.0,54.8,25.4,5.8,1.5,17.7,9.8,2.5,1.5,21.7,10.4,5.0,3.4,35.4,28.2,100.0,95.4,4.6,2.3,0.2,0.3,0.2,0.5,1.2,(X),(X),100.0,53.7,46.3
Santa Cruz   ,4.4,5.0,5.8,7.4,8.1,6.2,6.3,6.4,6.1,6.0,6.3,6.7,6.9,6.6,5.2,2.9,1.7,1.8,83.5,81.1,75.3,22.3,18.2,100.0,4.4,5.3,6.0,7.6,8.4,6.6,6.5,6.4,6.1,6.0,6.3,6.6,6.7,6.4,5.1,2.7,1.5,1.2,83.1,80.7,74.7,21.0,17.1,100.0,4.4,4.8,5.7,7.3,7.8,5.8,6.1,6.4,6.1,6.0,6.4,6.7,7.2,6.7,5.2,3.1,1.9,2.3,83.9,81.6,75.9,23.6,19.2,(X),(X),(X),85.7,59.3,1.2,1.3,4.6,0.1,19.2,14.3,115.4,72.9,2.2,3.7,7.0,0.6,29.0,34.8,65.2,34.8,5.5,0.1,1.0,0.2,0.0,18.6,9.4,65.2,53.7,1.1,0.3,4.5,0.1,0.6,4.9,94.6,35.6,16.1,0.3,2.7,0.2,25.3,15.8,2.2,1.7,5.2,7.2,5.4,0.4,0.2,0.2,5.0,2.8,2.2,100.0,46.1,17.1,8.0,2.1,18.9,11.5,4.4,1.6,27.0,14.6,8.2,4.2,29.2,36.6,100.0,90.5,9.5,1.5,0.2,0.5,0.2,5.3,1.7,(X),(X),100.0,58.2,41.8
Shasta   ,5.3,6.0,6.3,5.8,5.2,5.7,6.3,6.2,5.5,5.1,5.8,7.1,7.5,7.0,5.9,4.2,2.7,2.6,81.2,78.8,75.6,26.8,22.4,100.0,5.6,6.3,6.6,6.1,5.5,5.7,6.3,6.2,5.7,5.1,5.7,6.8,7.3,6.8,5.8,4.1,2.4,2.1,80.3,77.7,74.3,25.5,21.2,100.0,5.0,5.7,6.0,5.5,4.9,5.7,6.2,6.1,5.2,5.1,5.9,7.3,7.7,7.2,6.0,4.4,2.9,3.0,82.1,79.8,76.8,28.1,23.5,(X),(X),(X),89.3,78.4,1.0,2.7,3.3,0.2,3.6,10.7,111.5,88.9,2.2,7.2,4.7,0.6,8.0,10.8,89.2,10.8,3.3,0.1,0.5,0.1,0.0,3.0,3.9,89.2,75.2,1.0,2.2,3.2,0.2,0.6,6.9,98.3,40.0,18.2,0.1,3.0,0.1,25.9,18.3,2.5,1.8,3.9,4.6,1.7,0.9,0.6,0.3,0.8,0.4,0.4,100.0,45.9,14.8,7.7,2.8,19.1,12.6,5.2,1.7,27.2,14.9,8.8,4.4,27.4,39.8,100.0,91.8,8.2,1.7,0.2,1.0,0.4,2.6,2.3,(X),(X),100.0,64.6,35.4
Sierra   ,4.0,4.5,5.2,4.6,2.2,3.6,5.1,5.9,5.5,4.9,6.0,8.3,9.4,10.8,9.4,5.1,3.3,2.4,85.2,83.4,81.2,36.1,30.9,100.0,4.4,4.8,5.1,5.1,2.5,3.6,5.1,5.7,6.3,4.3,6.2,7.8,9.6,9.6,9.5,5.3,3.1,2.0,84.6,82.9,80.0,34.7,29.5,100.0,3.6,4.2,5.4,4.1,1.9,3.6,5.0,6.0,4.7,5.4,5.7,8.9,9.1,11.9,9.2,4.9,3.6,2.8,85.8,83.8,82.4,37.5,32.4,(X),(X),(X),88.0,83.5,0.2,0.7,0.2,0.0,3.3,12.0,114.9,94.6,2.0,4.8,2.3,1.2,10.0,11.7,88.3,11.7,2.7,0.0,0.2,0.0,0.0,2.5,6.2,88.3,80.8,0.2,0.6,0.2,0.0,0.8,5.7,99.0,45.0,20.7,0.0,3.0,0.2,21.4,13.2,2.3,1.8,3.0,3.4,1.0,1.0,0.3,0.6,0.0,0.0,0.0,100.0,45.7,11.1,7.2,2.5,22.2,16.9,8.9,1.2,24.9,15.0,9.5,2.6,23.8,50.2,100.0,68.5,31.5,1.4,0.0,1.3,0.5,24.1,4.4,(X),(X),100.0,74.0,26.0
Siskiyou   ,4.7,5.2,6.0,5.5,4.5,4.6,5.3,5.7,5.0,5.0,5.5,7.3,8.9,9.0,7.6,5.0,2.7,2.5,82.9,80.7,77.6,32.3,26.7,100.0,5.0,5.0,6.4,5.7,5.0,4.6,5.4,5.8,5.1,5.1,5.4,6.9,8.3,9.0,7.6,5.1,2.6,2.0,82.3,79.9,76.7,31.5,26.3,100.0,4.4,5.4,5.5,5.3,4.1,4.6,5.2,5.6,5.0,4.9,5.7,7.6,9.4,9.0,7.6,4.9,2.7,3.1,83.6,81.6,78.5,33.0,27.2,(X),(X),(X),88.5,76.2,1.1,4.6,2.0,0.1,4.5,11.5,112.5,87.2,2.3,10.0,3.1,0.6,9.3,12.5,87.5,12.5,3.5,0.1,0.6,0.0,0.0,3.9,4.4,87.5,72.7,1.1,4.0,2.0,0.1,0.6,7.0,98.7,43.6,18.7,0.2,3.3,0.1,23.4,16.4,2.3,1.5,3.3,3.8,1.3,0.4,0.3,0.2,0.9,0.5,0.3,100.0,43.3,12.0,7.9,2.5,21.2,15.5,7.5,1.4,27.6,16.7,9.9,3.8,23.4,45.6,100.0,83.8,16.2,1.8,0.2,1.1,0.4,8.2,4.4,(X),(X),100.0,66.4,33.6
Solano   ,5.5,6.0,6.4,6.3,6.3,6.7,7.1,7.0,6.2,6.0,6.3,6.9,6.7,5.7,4.6,2.8,1.7,1.7,80.8,78.2,74.5,20.5,16.5,100.0,5.7,6.1,6.7,6.6,6.8,7.1,7.2,7.1,6.3,5.9,6.3,6.8,6.5,5.4,4.3,2.5,1.5,1.3,80.2,77.6,73.6,18.9,15.0,100.0,5.4,5.9,6.1,6.1,5.8,6.4,6.9,6.8,6.2,6.1,6.3,7.0,7.0,6.0,4.8,3.0,2.0,2.1,81.4,78.9,75.4,22.1,18.0,(X),(X),(X),85.3,38.8,13.7,1.2,16.0,0.9,14.7,14.7,116.5,51.4,16.9,3.7,20.1,2.1,22.2,28.3,71.7,28.3,4.6,0.5,0.8,0.4,0.1,14.1,7.9,71.7,34.2,13.2,0.4,15.6,0.8,0.7,6.8,97.5,34.4,16.9,0.2,2.2,0.1,29.4,18.3,2.9,2.2,7.3,4.0,2.5,1.7,1.6,0.1,0.7,0.5,0.2,100.0,49.8,19.1,6.8,2.6,16.5,9.2,3.2,1.9,26.9,12.4,6.6,5.2,34.2,34.4,100.0,96.1,3.9,1.7,0.1,0.5,0.2,0.4,1.0,(X),(X),100.0,62.4,37.6
Sonoma   ,4.6,5.4,5.9,6.0,5.7,6.0,6.5,6.7,6.2,5.9,6.3,7.0,7.2,6.8,5.9,3.7,2.1,2.3,82.9,80.4,76.9,25.1,20.9,100.0,4.8,5.6,6.2,6.4,5.9,6.3,6.6,6.8,6.3,5.9,6.4,6.8,6.9,6.5,5.6,3.4,1.9,1.7,82.1,79.5,75.8,23.1,19.1,100.0,4.4,5.1,5.7,5.6,5.4,5.7,6.3,6.5,6.1,5.8,6.2,7.2,7.4,7.2,6.3,4.0,2.4,2.8,83.6,81.3,78.1,27.0,22.6,(X),(X),(X),86.5,62.7,1.6,1.8,4.7,0.4,15.3,13.5,114.5,75.6,2.7,4.4,6.8,0.8,24.3,28.9,71.1,28.9,4.3,0.1,1.2,0.1,0.0,14.7,8.5,71.1,58.5,1.5,0.6,4.5,0.3,0.6,5.0,98.2,38.4,17.6,0.4,2.9,0.2,26.1,17.0,1.9,1.4,5.2,5.5,1.8,0.5,0.3,0.2,1.3,0.6,0.7,100.0,47.0,16.9,8.0,2.3,17.2,10.6,4.5,1.6,27.8,15.9,9.7,4.0,28.3,38.9,100.0,91.7,8.3,1.8,0.2,0.6,0.2,3.8,1.7,(X),(X),100.0,60.2,39.8
Stanislaus   ,6.4,7.2,7.9,7.5,6.6,6.8,6.9,6.8,6.3,5.9,5.9,6.1,5.7,4.7,3.7,2.5,1.6,1.6,76.9,73.8,69.5,17.5,14.2,100.0,6.7,7.5,8.2,7.8,6.8,6.9,6.9,6.8,6.3,5.9,5.8,6.0,5.5,4.5,3.5,2.2,1.4,1.2,76.0,72.8,68.4,16.0,12.9,100.0,6.2,7.0,7.6,7.2,6.3,6.7,6.9,6.7,6.2,5.8,5.9,6.1,5.8,4.9,4.0,2.7,1.9,2.0,77.7,74.7,70.6,18.9,15.5,(X),(X),(X),84.7,46.4,2.9,1.9,6.3,0.8,26.4,15.3,116.4,60.6,4.1,4.6,8.2,1.4,37.5,48.1,51.9,48.1,8.8,0.3,1.4,0.3,0.1,25.9,11.2,51.9,37.6,2.6,0.5,6.0,0.7,0.5,4.1,98.8,32.0,16.1,0.2,2.3,0.1,33.8,21.9,3.6,2.7,7.5,3.4,1.2,0.5,0.2,0.2,0.7,0.4,0.3,100.0,50.9,22.7,7.5,3.6,16.5,8.7,3.0,2.2,25.1,10.5,6.1,5.7,40.2,31.8,100.0,96.5,3.5,1.3,0.1,0.5,0.2,0.3,1.0,(X),(X),100.0,59.8,40.2
