Election Date,Election Name,County ID,County Name,Ballot Measure ID,Ballot Measure Name,Ballot Measure Title,Yes Votes,No Votes
11/3/2020,"November 3, 2020, General Election",5,Calaveras,1.9E+11,Proposition 24,Amends Consumer Privacy Laws,"10,921","15,255"
11/3/2020,"November 3, 2020, General Election",5,Calaveras,1.9E+11,Proposition 25,Eliminates Money Bail System,"7,625","18,539"
11/3/2020,"November 3, 2020, General Election",6,Colusa,1.9E+11,Proposition 14,Bonds to Continue Stem Cell Research,"2,856","4,915"
11/3/2020,"November 3, 2020, General Election",6,Colusa,1.9E+11,Proposition 15,"Property Tax to Fund Schools, Government Services","2,357","5,490"
11/3/2020,"November 3, 2020, General Election",6,Colusa,1.9E+11,Proposition 16,Affirmative Action in Government Decisions,"1,830","5,889"
11/3/2020,"November 3, 2020, General Election",6,Colusa,1.9E+11,Proposition 17,Restores Right to Vote After Prison Term,"2,821","4,999"
11/3/2020,"November 3, 2020, General Election",6,Colusa,1.9E+11,Proposition 18,17-year-old Primary Voting Rights,"1,834","6,001"
11/3/2020,"November 3, 2020, General Election",6,Colusa,1.9E+11,Proposition 19,Changes Certain Property Tax Rules,"3,239","4,469"
11/3/2020,"November 3, 2020, General Election",6,Colusa,1.9E+11,Proposition 20,Parole Restrictions for Certain Offenses,"3,722","3,982"
11/3/2020,"November 3, 2020, General Election",6,Colusa,1.9E+11,Proposition 21,Expands Governmentsâ€™ Authority to Rent Control,"1,793","5,979"
11/3/2020,"November 3, 2020, General Election",6,Colusa,1.9E+11,Proposition 22,App-Based Drivers and Employee Benefits,"5,287","2,498"
11/3/2020,"November 3, 2020, General Election",6,Colusa,1.9E+11,Proposition 23,State Requirements for Kidney Dialysis Clinics,"2,022","5,779"
11/3/2020,"November 3, 2020, General Election",6,Colusa,1.9E+11,Proposition 24,Amends Consumer Privacy Laws,"3,348","4,319"
11/3/2020,"November 3, 2020, General Election",6,Colusa,1.9E+11,Proposition 25,Eliminates Money Bail System,"2,147","5,540"
11/3/2020,"November 3, 2020, General Election",7,Contra Costa,1.9E+11,Proposition 14,Bonds to Continue Stem Cell Research,"319,859","246,771"
11/3/2020,"November 3, 2020, General Election",7,Contra Costa,1.9E+11,Proposition 15,"Property Tax to Fund Schools, Government Services","314,413","259,630"
11/3/2020,"November 3, 2020, General Election",7,Contra Costa,1.9E+11,Proposition 16,Affirmative Action in Government Decisions,"268,242","296,198"
11/3/2020,"November 3, 2020, General Election",7,Contra Costa,1.9E+11,Proposition 17,Restores Right to Vote After Prison Term,"369,259","200,310"
11/3/2020,"November 3, 2020, General Election",7,Contra Costa,1.9E+11,Proposition 18,17-year-old Primary Voting Rights,"277,417","293,452"
11/3/2020,"November 3, 2020, General Election",7,Contra Costa,1.9E+11,Proposition 19,Changes Certain Property Tax Rules,"324,682","238,854"
11/3/2020,"November 3, 2020, General Election",7,Contra Costa,1.9E+11,Proposition 20,Parole Restrictions for Certain Offenses,"196,819","362,696"
