,COUNTY,PYMT_AMT,PYMT_PCT,PYMT_PC,PYMT_PER_USER,STDZ_PYMT_AMT,STDZ_PYMT_PCT,STDZ_PYMT_PC,STDZ_PYMT_PER_USER,USER_CNT,USER_PCT,VISITS_PER_1000
42,Santa Clara,55164310.94111112,0.04007777777777778,488.41555555555556,36964.32666666667,39666760.623333335,0.04184444444444444,350.8911111111111,26534.425555555554,1494.4444444444443,0.013222222222222222,1975.1546777777778
43,Santa Cruz,8927687.607777778,0.022322222222222222,231.3388888888889,36494.94111111111,6386904.971111111,0.022255555555555556,165.5822222222222,26122.173333333332,243.66666666666666,0.006344444444444444,896.3714
44,Shasta,5785533.0,0.013633333333333334,137.19444444444446,28092.716666666664,4739332.476666667,0.013877777777777777,112.41666666666667,23028.67111111111,205.88888888888889,0.004877777777777778,621.0621111111111
45,Sierra,,,,,,,,,0.0,,
46,Siskiyou,1175202.7955555555,0.011811111111111113,100.11777777777777,26684.406666666666,1032737.4722222222,0.013000000000000001,88.04,23459.719999999998,44.0,0.0037555555555555554,559.7650444444445
47,Solano,18768796.525555555,0.048666666666666664,555.9155555555556,34231.89666666667,13811417.187777778,0.049633333333333335,409.3933333333333,25195.26111111111,547.8888888888889,0.016266666666666665,2300.4423
48,Sonoma,11390900.745555555,0.02081111111111111,236.24888888888893,34023.11888888889,8533224.053333335,0.0212,176.8722222222222,25454.48888888889,335.44444444444446,0.006944444444444444,954.2658555555556
49,Stanislaus,20505340.40111111,0.04686666666666667,535.4711111111111,30526.838888888888,17769645.06444444,0.05051111111111111,463.7255555555555,26412.588888888888,673.7777777777778,0.017566666666666664,2450.942522222222
50,Sutter,3876327.481111111,0.0237,260.70222222222225,26311.02,3420594.328888889,0.026344444444444445,230.07888888888888,23208.699999999997,147.44444444444446,0.009944444444444443,1189.5551666666665
51,Tehama,2445828.225555556,0.018955555555555555,184.7588888888889,28150.455555555553,2127557.347777778,0.0207,160.67333333333332,24491.173333333332,86.77777777777777,0.006555555555555556,865.9699666666667
52,Trinity,343381.735,0.01095,105.155,26269.495,281089.02,0.0115,86.08500000000001,21480.405,2.888888888888889,0.00395,473.0771
53,Tulare,17474125.532222223,0.03685555555555556,391.17555555555555,23368.032222222224,17622753.794444446,0.043000000000000003,394.4588888888889,23560.12,748.8888888888889,0.01672222222222222,2279.422222222222
54,Tuolumne,1574843.4488888888,0.011166666666666667,113.31111111111112,26845.872222222224,1358089.8333333333,0.012577777777777778,97.74111111111112,23157.1,58.55555555555556,0.004233333333333334,541.2034333333334
55,Ventura,23688933.54777778,0.023477777777777778,284.45444444444445,28077.064444444448,20439230.757777777,0.024333333333333332,245.46888888888893,24182.152222222223,846.4444444444445,0.010166666666666666,1354.2897
56,Yolo,4969774.643333334,0.033911111111111114,348.56666666666666,32949.24888888889,3721916.9633333334,0.03443333333333334,261.2988888888889,24752.575555555555,149.0,0.010488888888888888,1384.3199666666667
57,Yuba,2695304.4366666665,0.023744444444444443,267.41,25546.44222222222,2366536.064444444,0.026433333333333333,234.70111111111112,22447.057777777776,105.22222222222223,0.010422222222222222,1225.8884666666665
58,nan,,,,,,,,,0.0,,
