YEAR,COUNTY,PYMT_AMT,PYMT_PCT,PYMT_PC,PYMT_PER_USER,STDZ_PYMT_AMT,STDZ_PYMT_PCT,STDZ_PYMT_PC,STDZ_PYMT_PER_USER,USER_CNT,USER_PCT,VISITS_PER_1000
2015,Tulare,17677658.64,0.0386,386.19,22809.88,17831133.05,0.0448,389.55,23007.91,775.0,0.0169,2374.2955
2015,Tuolumne,1331568.33,0.0104,99.32,25607.08,1162363.37,0.0117,86.7,22353.14,52.0,0.0039,446.4832
2015,Ventura,24232400.41,0.0268,291.52,26835.44,21549559.76,0.0278,259.25,23864.41,903.0,0.0109,1467.7165
2015,Yolo,4218594.75,0.0323,289.58,30792.66,3328595.51,0.0339,228.49,24296.32,137.0,0.0094,1213.413
2015,Yuba,2239493.67,0.0239,224.76,22173.2,2064240.37,0.0274,207.17,20438.02,101.0,0.0101,1188.6792
2015,nan,,,,,,,,,0.0,,
2016,Alameda,47881099.86,0.0404,478.06,34200.79,34794613.02,0.0415,347.4,24853.3,1400.0,0.014,2032.5189
2016,Alpine,,,,,,,,,0.0,,
2016,Amador,676371.86,0.0094,86.28,27054.87,554362.79,0.0101,70.72,22174.51,25.0,0.0032,471.4887
2016,Butte,7273774.32,0.0158,161.82,23693.08,6697426.23,0.0174,149.0,21815.72,307.0,0.0068,856.0368
2016,Calaveras,1364325.84,0.0142,133.33,29028.21,1161771.9,0.0159,113.53,24718.55,47.0,0.0046,764.7806
2016,Colusa,1033081.19,0.0405,354.16,28696.7,827495.86,0.0415,283.68,22986.0,36.0,0.0123,1727.1169
2016,Contra Costa,30993506.08,0.0352,401.81,33183.63,22523136.75,0.0351,292.0,24114.71,934.0,0.0121,1614.4033
2016,Del Norte,465022.02,0.011,89.31,27354.24,401735.42,0.0116,77.15,23631.5,17.0,0.0033,461.3021
2016,El Dorado,3063296.26,0.0132,128.53,28628.94,2395418.87,0.0135,100.51,22387.09,107.0,0.0045,588.4278
2016,Fresno,30635274.99,0.038,401.51,25172.78,29369368.48,0.0429,384.91,24132.6,1217.0,0.0159,2262.1722
2016,Glenn,1234265.67,0.0246,244.75,26831.86,1140240.11,0.0276,226.1,24787.83,46.0,0.0091,1255.6018
2016,Humboldt,2828908.2,0.0142,115.11,27201.04,2404448.23,0.0155,97.84,23119.69,104.0,0.0042,529.4405
2016,Imperial,11907736.55,0.0468,506.67,22382.96,12765155.51,0.0578,543.15,23994.65,532.0,0.0226,3062.5053
2016,Inyo,559119.54,0.0135,137.95,26624.74,479262.23,0.0151,118.25,22822.01,21.0,0.0052,630.8907
2016,Kern,27877899.22,0.0401,463.17,26626.46,25082989.38,0.0433,416.74,23957.01,1047.0,0.0174,2408.7624
2016,Kings,5888384.39,0.0464,470.96,24433.13,5585453.89,0.0516,446.73,23176.16,241.0,0.0193,2757.2583
2016,Lake,3491088.56,0.0208,230.71,26052.9,2935558.95,0.0232,194.0,21907.16,134.0,0.0089,1071.3058
2016,Lassen,355690.22,0.0096,80.78,20922.95,340976.41,0.0106,77.44,20057.44,17.0,0.0039,583.6929
2016,Los Angeles,298694154.02,0.0359,518.72,26444.81,263782081.58,0.0388,458.09,23353.88,11295.0,0.0196,2628.1839
2016,Madera,3784234.42,0.0291,275.06,21379.86,4114583.31,0.0368,299.07,23246.23,177.0,0.0129,1726.9225
