,county name,eligible 2018,total registered 2018,democratic 2018,republican 2018,american independent 2018,green 2018,libertarian 2018,peace and freedom 2018,unknown 2018,other 2018,no party preference 2018,eligible 2020,total registered 2020,democratic 2020,republican 2020,american independent 2020,green 2020,libertarian 2020,peace and freedom 2020,unknown 2020,other 2020,no party preference 2020,eligible 2022,total registered 2022,democratic 2022,republican 2022,american independent 2022,green 2022,libertarian 2022,peace and freedom 2022,unknown 2022,other 2022,no party preference 2022
15,Kings,80450,52631,0.3236495601451616,0.40780148581634396,0.026239288632174954,0.002109023199255192,0.008246090706997777,0.0027930307233379565,0.004636050996560962,0.0027930307233379565,0.22173243905682963,80450,52631,0.3236495601451616,0.40780148581634396,0.026239288632174954,0.002109023199255192,0.008246090706997777,0.0027930307233379565,0.004636050996560962,0.0027930307233379565,0.22173243905682963,80450,52631,0.3236495601451616,0.40780148581634396,0.026239288632174954,0.002109023199255192,0.008246090706997777,0.0027930307233379565,0.004636050996560962,0.0027930307233379565,0.22173243905682963
16,Lake,49469,32653,0.3783419593911739,0.266713625088047,0.039720699476311516,0.009953143662144366,0.01102502067191376,0.005022509417205157,3.062505742198267e-05,0.0015006278136771507,0.28769178942210516,49469,32653,0.3783419593911739,0.266713625088047,0.039720699476311516,0.009953143662144366,0.01102502067191376,0.005022509417205157,3.062505742198267e-05,0.0015006278136771507,0.28769178942210516,49469,32653,0.3783419593911739,0.266713625088047,0.039720699476311516,0.009953143662144366,0.01102502067191376,0.005022509417205157,3.062505742198267e-05,0.0015006278136771507,0.28769178942210516
17,Lassen,16571,14332,0.19976276862963996,0.48548702204856264,0.05323751046608987,0.0033491487580240022,0.010466089868825006,0.0030700530281886685,0.0003488696622941669,0.005861010326542004,0.23841752721183365,16571,14332,0.19976276862963996,0.48548702204856264,0.05323751046608987,0.0033491487580240022,0.010466089868825006,0.0030700530281886685,0.0003488696622941669,0.005861010326542004,0.23841752721183365,16571,14332,0.19976276862963996,0.48548702204856264,0.05323751046608987,0.0033491487580240022,0.010466089868825006,0.0030700530281886685,0.0003488696622941669,0.005861010326542004,0.23841752721183365
18,Los Angeles,6230147,5280658,0.5008025515002108,0.17041872433321756,0.0210687758987611,0.004168041179716618,0.005998684254878843,0.005488331189029852,0.003935683772741958,0.007607385291757201,0.2805118225796861,6230147,5280658,0.5008025515002108,0.17041872433321756,0.0210687758987611,0.004168041179716618,0.005998684254878843,0.005488331189029852,0.003935683772741958,0.007607385291757201,0.2805118225796861,6230147,5280658,0.5008025515002108,0.17041872433321756,0.0210687758987611,0.004168041179716618,0.005998684254878843,0.005488331189029852,0.003935683772741958,0.007607385291757201,0.2805118225796861
19,Madera,89818,57418,0.3157372252603713,0.3851405482601275,0.031105228325612178,0.0028039987460378277,0.007610853739245533,0.0035528928210665643,0.003169737712912327,0.004145041624577658,0.24673447351004912,89818,57418,0.3157372252603713,0.3851405482601275,0.031105228325612178,0.0028039987460378277,0.007610853739245533,0.0035528928210665643,0.003169737712912327,0.004145041624577658,0.24673447351004912,89818,57418,0.3157372252603713,0.3851405482601275,0.031105228325612178,0.0028039987460378277,0.007610853739245533,0.0035528928210665643,0.003169737712912327,0.004145041624577658,0.24673447351004912
20,Marin,181925,160944,0.5556280445372304,0.14817576299830998,0.02216298836862511,0.008170543791629386,0.006350034794711204,0.0015409086390297247,0.0015906153693210062,0.003007257182622527,0.2533738443185207,181925,160944,0.5556280445372304,0.14817576299830998,0.02216298836862511,0.008170543791629386,0.006350034794711204,0.0015409086390297247,0.0015906153693210062,0.003007257182622527,0.2533738443185207,181925,160944,0.5556280445372304,0.14817576299830998,0.02216298836862511,0.008170543791629386,0.006350034794711204,0.0015409086390297247,0.0015906153693210062,0.003007257182622527,0.2533738443185207
21,Mariposa,14933,10853,0.2811204275315581,0.42541232838846404,0.03842255597530637,0.007831935870266286,0.011148991062379066,0.002764212660093983,0.000829263798028195,0.012715378236432323,0.21975490647747167,14933,10853,0.2811204275315581,0.42541232838846404,0.03842255597530637,0.007831935870266286,0.011148991062379066,0.002764212660093983,0.000829263798028195,0.012715378236432323,0.21975490647747167,14933,10853,0.2811204275315581,0.42541232838846404,0.03842255597530637,0.007831935870266286,0.011148991062379066,0.002764212660093983,0.000829263798028195,0.012715378236432323,0.21975490647747167
22,Mendocino,64399,49411,0.4724049300762988,0.19766853534638035,0.03343385076197608,0.021412236141749814,0.010341826718746838,0.004432211450891502,0.007872740887656595,0.003076238084637024,0.24935743053166298,64399,49411,0.4724049300762988,0.19766853534638035,0.03343385076197608,0.021412236141749814,0.010341826718746838,0.004432211450891502,0.007872740887656595,0.003076238084637024,0.24935743053166298,64399,49411,0.4724049300762988,0.19766853534638035,0.03343385076197608,0.021412236141749814,0.010341826718746838,0.004432211450891502,0.007872740887656595,0.003076238084637024,0.24935743053166298
23,Merced,160905,97584,0.4326016560091818,0.27390760780455814,0.03044556484669618,0.0032997212657812757,0.007357763567797999,0.002592638137399574,0.00016396130513198886,0.0011374815543531726,0.24849360550909985,160905,97584,0.4326016560091818,0.27390760780455814,0.03044556484669618,0.0032997212657812757,0.007357763567797999,0.002592638137399574,0.00016396130513198886,0.0011374815543531726,0.24849360550909985,160905,97584,0.4326016560091818,0.27390760780455814,0.03044556484669618,0.0032997212657812757,0.007357763567797999,0.002592638137399574,0.00016396130513198886,0.0011374815543531726,0.24849360550909985
24,Modoc,7392,5118,0.21590465025400546,0.4925752246971473,0.049824150058616644,0.004103165298944901,0.008792497069167644,0.0031262211801484957,0.0009769441187964048,0.0025400547088706526,0.22215709261430247,7392,5118,0.21590465025400546,0.4925752246971473,0.049824150058616644,0.004103165298944901,0.008792497069167644,0.0031262211801484957,0.0009769441187964048,0.0025400547088706526,0.22215709261430247,7392,5118,0.21590465025400546,0.4925752246971473,0.049824150058616644,0.004103165298944901,0.008792497069167644,0.0031262211801484957,0.0009769441187964048,0.0025400547088706526,0.22215709261430247
