,county name,yes count 2020,no count 2020,total count 2020,yes perc 2020,no perc 2020,yes count 2018,no count 2018,total count 2018,yes perc 2018,no perc 2018,yes count 2022,no count 2022,total count 2022,yes perc 2022,no perc 2022
10,Glenn,2496.0,8567.0,11063.0,0.2256169212690952,0.7743830787309048,2114,6067,8181,0.25840361813959173,0.7415963818604082,1385.0,6349.0,7734.0,0.1790793897077838,0.8209206102922162
11,Humboldt,26201.0,39515.0,65716.0,0.3987004686834256,0.6012995313165743,25462,25034,50496,0.5042379594423321,0.4957620405576679,14876.0,31147.0,46023.0,0.32322968950307457,0.6767703104969255
12,Imperial,25412.0,29706.0,55118.0,0.46104720780870134,0.5389527921912987,13498,19135,32633,0.41363037416112525,0.5863696258388748,12707.0,16598.0,29305.0,0.43361201160211565,0.5663879883978843
13,Inyo,2454.0,6712.0,9166.0,0.267728562077242,0.7322714379227581,2265,4748,7013,0.322971624126622,0.677028375873378,1624.0,5559.0,7183.0,0.22608937769734094,0.7739106223026591
14,Kern,86568.0,213817.0,300385.0,0.28819015596650965,0.7118098440334903,58234,139818,198052,0.29403389008947145,0.7059661099105285,49514.0,135398.0,184912.0,0.2677706152115601,0.7322293847884399
15,Kings,13028.0,30267.0,43295.0,0.3009123455364361,0.6990876544635639,8576,21066,29642,0.2893192092301464,0.7106807907698536,6856.0,19572.0,26428.0,0.25942182533676406,0.7405781746632359
16,Lake,8875.0,19120.0,27995.0,0.31702089658867655,0.6829791034113234,7894,12549,20443,0.3861468473316049,0.613853152668395,5414.0,14303.0,19717.0,0.27458538317188214,0.7254146168281179
17,Lassen,2534.0,9123.0,11657.0,0.21738011495238913,0.7826198850476109,2630,6138,8768,0.2999543795620438,0.7000456204379562,2059.0,6878.0,8937.0,0.23039051135727873,0.7696094886427213
18,Los Angeles,1672676.0,2385774.0,4058450.0,0.412146509135261,0.587853490864739,1192936,1659512,2852448,0.4182148105767397,0.5817851894232603,860323.0,1462984.0,2323307.0,0.3703010407148087,0.6296989592851914
19,Madera,14794.0,37694.0,52488.0,0.28185490016765735,0.7181450998323426,11257,26455,37712,0.2984991514637251,0.7015008485362749,8978.0,27475.0,36453.0,0.24628974295668396,0.7537102570433161
20,Marin,51877.0,94100.0,145977.0,0.35537790199826,0.64462209800174,52537,70415,122952,0.427296831283753,0.5727031687162469,32264.0,81246.0,113510.0,0.28423927407276894,0.7157607259272311
21,Mariposa,2437.0,7614.0,10051.0,0.2424634364739827,0.7575365635260173,2651,5350,8001,0.33133358330208723,0.6686664166979127,1680.0,5971.0,7651.0,0.21957913998170173,0.7804208600182982
22,Mendocino,15639.0,26063.0,41702.0,0.3750179847489329,0.6249820152510671,15032,17085,32117,0.46803873338107543,0.5319612666189245,8283.0,21027.0,29310.0,0.2825997952917093,0.7174002047082907
23,Merced,28917.0,58743.0,87660.0,0.32987679671457903,0.670123203285421,19394,38847,58241,0.33299565598118164,0.6670043440188184,15854.0,38311.0,54165.0,0.29269823686882673,0.7073017631311733
24,Modoc,879.0,3366.0,4245.0,0.20706713780918728,0.7929328621908127,866,2504,3370,0.256973293768546,0.7430267062314541,626.0,2712.0,3338.0,0.18753744757339724,0.8124625524266027
25,Mono,2150.0,4194.0,6344.0,0.3389029003783102,0.6610970996216898,1984,2681,4665,0.4252947481243301,0.5747052518756699,1490.0,2880.0,4370.0,0.34096109839816935,0.6590389016018307
26,Monterey,66354.0,92908.0,159262.0,0.41663422536449374,0.5833657746355063,49132,64525,113657,0.43228309738951404,0.5677169026104859,35133.0,64777.0,99910.0,0.35164648183365027,0.6483535181663497
27,Napa,22804.0,46961.0,69765.0,0.32686877374041423,0.6731312262595858,22411,31864,54275,0.41291570704744357,0.5870842929525564,14369.0,34487.0,48856.0,0.29410921892909775,0.7058907810709022
28,Nevada,17155.0,45142.0,62297.0,0.27537441610350416,0.7246255838964958,20462,31811,52273,0.39144491420044764,0.6085550857995523,12427.0,36607.0,49034.0,0.2534363910755802,0.7465636089244198
29,Orange,486724.0,984586.0,1471310.0,0.33080995847238176,0.6691900415276183,395773,652270,1048043,0.3776304979852926,0.6223695020147074,278985.0,673691.0,952676.0,0.2928435270753121,0.707156472924688
30,Placer,56847.0,170430.0,227277.0,0.2501220977045632,0.7498779022954368,54794,115496,170290,0.32176874743085326,0.6782312525691467,37717.0,139054.0,176771.0,0.2133664458536751,0.7866335541463249
31,Plumas,2715.0,8255.0,10970.0,0.24749316317228806,0.7525068368277119,2983,5975,8958,0.3329984371511498,0.6670015628488501,1729.0,6667.0,8396.0,0.20593139590281087,0.7940686040971892
32,Riverside,317736.0,656729.0,974465.0,0.32606199299102584,0.6739380070089741,211932,416214,628146,0.33739289910307474,0.6626071008969252,173571.0,408811.0,582382.0,0.2980363404088725,0.7019636595911275
33,Sacramento,231961.0,458751.0,690712.0,0.33582882590717983,0.6641711740928201,194264,306707,500971,0.3877749410644528,0.6122250589355471,137857.0,328053.0,465910.0,0.295887617780258,0.704112382219742
34,San Benito,10570.0,17751.0,28321.0,0.37322128455916104,0.626778715440839,7268,12351,19619,0.3704572098475967,0.6295427901524033,6300.0,12852.0,19152.0,0.32894736842105265,0.6710526315789473
35,San Bernardino,276506.0,544596.0,821102.0,0.3367498800392643,0.6632501199607357,179394,347793,527187,0.3402853257003682,0.6597146742996318,130944.0,307993.0,438937.0,0.29832071572913654,0.7016792842708635
36,San Diego,557301.0,980341.0,1537642.0,0.36243872110673353,0.6375612788932664,448644,665096,1113740,0.4028265124714924,0.5971734875285075,300307.0,693460.0,993767.0,0.3021905537213451,0.6978094462786548
