year,county_name,median_household_income,population,race_american_indian,race_asian,race_black,race_hispanic,race_multi_racial,race_hawaiian_pacific,race_white,age_0_5,age_6_17,age_18_64,age_65_plus
2023,Merced,,285337.0,0.0043177015248635,0.0721953339384657,0.0296912072391593,0.6355572533530527,0.0194331614897472,0.0021868877853205,0.2519512015616622,0.0842162075020064,0.189919288420359,0.6136673477326811,0.1275299032372247
2023,Modoc,,8527.0,0.0324850474961885,0.0079746686994253,0.0109065321918611,0.1600797466869942,0.0256831241937375,0.0028145889527383,0.7768265509557875,0.0262694968922246,0.1318165826199132,0.5246862906063093,0.3339978890582854
2023,Mono,,13156.0,0.0193067801763453,0.0235633931286105,0.0079051383399209,0.2731073274551535,0.0210550319245971,0.0034965034965034,0.6536181210094254,0.0479629066585588,0.1394040741866828,0.5474308300395256,0.267254484645789
2023,Monterey,,430368.0,0.0028882258904007,0.0574810394824894,0.0232521934716335,0.6066970592609116,0.0237517659305524,0.0043358242248494,0.2880325674771358,0.0795946724663543,0.1853901777083798,0.5761673730388877,0.1652864525243512
2023,Napa,,134637.0,0.0036171334774244,0.0871380081255524,0.0189323885707494,0.3549024413794128,0.0254833366756537,0.0027704122937973,0.5067329188855961,0.0539153427363949,0.1281297117434286,0.5775678305369252,0.2399637543914377
2023,Nevada,,100720.0,0.007972597299444,0.0142474185861795,0.0053018268467037,0.1006552819698173,0.0282863383637807,0.0016878474980142,0.832674741858618,0.047934868943606,0.1009630659253375,0.5143467037331215,0.3275814138204924
2023,Orange,,3137164.0,0.0019530378392713,0.2235821907939782,0.0172209677275399,0.3401489370654514,0.0291148311022311,0.0027677864466122,0.3862676608554732,0.0659296103104587,0.1527102185285818,0.5996387182818622,0.1827768647096549
2023,Placer,,410305.0,0.0054398557170885,0.0890410791971825,0.0185496155299106,0.1525816161148414,0.0398947124699918,0.0022909786622146,0.6988776641766491,0.0603502272699577,0.1396278378279572,0.5953961077734856,0.2113013489964782
2023,Plumas,,18996.0,0.0201621393977679,0.0086860391661402,0.0096336070751737,0.1016003369130343,0.0339545167403663,0.0014739945251631,0.8199094546220257,0.0402716361339229,0.1032849020846494,0.4714676774057696,0.3803958728153295
2023,Riverside,,2439234.0,0.0046531001125763,0.0692139417538456,0.0629336914785543,0.515814390911245,0.024634372921991,0.0031239315293243,0.3230735550586782,0.0704352267966091,0.1604852179003736,0.6150963786172217,0.1574301604520107
2023,Sacramento,,1572453.0,0.0048904482359727,0.169945937970801,0.0964785592955719,0.2413731920763291,0.0516575058205237,0.011579360400597,0.4209645693702769,0.0724498601866001,0.1602051062893453,0.6040530305198312,0.1601815761742958
2023,San Benito,,65666.0,0.0040508025462187,0.0395181676971339,0.0113452928456126,0.6272195656808699,0.0188986690220205,0.0024365729601315,0.3084853653336582,0.0739043035969908,0.1531233819632686,0.6301434532330278,0.1547832972923583
2023,San Bernardino,,2182056.0,0.0037217193325927,0.0793898048446052,0.0804521057204764,0.5581327885260506,0.022329857712176,0.0031694878591566,0.256113042011754,0.0766634770143387,0.1755500317132099,0.6135717873418464,0.1375235099374168
2023,San Diego,,3269755.0,0.0042223347009179,0.1234792820868841,0.0472778541511519,0.350146417697962,0.036333609093036,0.0042446605326698,0.4414547878969525,0.0711279591284362,0.1628648017970765,0.6007003582837246,0.1724658269503372
2023,San Francisco,,831703.0,0.0020319753565876,0.3625729376953071,0.0512418495544683,0.1557034181673025,0.0380748897142369,0.0038535390638244,0.3848008243327245,0.0533808342641543,0.1169251523680929,0.6128473746036747,0.2151260726485296
2023,San Joaquin,,786145.0,0.0041951548378479,0.1718728733248955,0.0708304447652786,0.4294958309217765,0.0361040266108669,0.0065077053215373,0.2837084761716986,0.0772376597192629,0.1699190352924715,0.6099816191669476,0.1455761977752195
2023,San Luis Obispo,,278348.0,0.0047925618290772,0.0377728598732521,0.0161201086409817,0.2397574259559975,0.0269770215701208,0.0012502335206288,0.6827568367654878,0.0539504505151824,0.1165160159225142,0.607606305775504,0.2313542759423455
2023,San Mateo,,737644.0,0.0014044715336937,0.3108532029000439,0.0219835042378166,0.2367266594725911,0.0389279923648806,0.0125263677329443,0.3713918909392606,0.0641610316087435,0.1552171508207211,0.5526731051835303,0.2217628015682361
2023,Santa Barbara,,440557.0,0.0041515626808789,0.0541110457897616,0.0172032222845171,0.4774864546471852,0.0252725527003316,0.0017500573138095,0.4332174951254888,0.073182357787982,0.153031276316118,0.6083140206602097,0.1786647357776632
2023,Santa Clara,,1886079.0,0.0020258960520741,0.3977966988657421,0.0239173438652357,0.2466609298974221,0.0323671489900476,0.0037994166734267,0.2888988213113024,0.0639236214389747,0.1556085402573275,0.5962889147273258,0.1796451792316228
2023,Santa Cruz,,262051.0,0.0040793585981354,0.046498582337026,0.0102384650316159,0.3499547797947728,0.0313068830113222,0.001247848701207,0.5724420055638024,0.0528446752731338,0.1328405539379739,0.6108810880324822,0.2192016057942919
2023,Shasta,,179436.0,0.0227713502307229,0.0320448516462694,0.0108729574890211,0.113204708085334,0.0398359303595711,0.0015715909850866,0.7798044985398693,0.0637720412849149,0.1430928018903676,0.5685425444169508,0.2246984997436412
2023,Sierra,,3193.0,0.0140933291575321,0.0043845912934544,0.0053241465706232,0.0967741935483871,0.0209834011901033,0.0003131850923896,0.8578139680551206,0.0378953961791418,0.0977137488255559,0.4719699342311306,0.392107735671782
