YEAR,COUNTY,PYMT_AMT,PYMT_PCT,PYMT_PC,PYMT_PER_USER,STDZ_PYMT_AMT,STDZ_PYMT_PCT,STDZ_PYMT_PC,STDZ_PYMT_PER_USER,USER_CNT,USER_PCT,VISITS_PER_1000,AVG_AGE,FEML_PCT,MALE_PCT,RACE_WHT_PCT,RACE_BLACK_PCT,RACE_HSPNC_PCT,RACE_OTHR_PCT,DUAL_PCT
2015,Del Norte,536718.66,0.0128,105.95,28248.35,472112.77,0.0134,93.19,24848.04,19,0.0038,658.3103,69.0,0.5213,0.4787,0.8709,0.0028,0.046,0.0803,0.3117
2015,El Dorado,2791793.66,0.0128,118.53,30019.29,2261755.34,0.0132,96.03,24319.95,93,0.0039,544.5591,71.0,0.5231,0.4769,0.9027,0.0065,0.0487,0.0422,0.1609
2015,Fresno,30283973.45,0.0381,401.75,26106.87,28349175.13,0.0418,376.08,24438.94,1160,0.0154,2193.7384,71.0,0.5273,0.4727,0.5744,0.0463,0.296,0.0833,0.3652
2015,Glenn,1130615.49,0.0236,223.31,23073.79,1054055.98,0.0266,208.19,21511.35,49,0.0097,1113.174,72.0,0.5244,0.4756,0.7889,0.0071,0.1598,0.0442,0.267
2015,Humboldt,2723143.2,0.014,111.99,26184.07,2393766.37,0.0154,98.45,23016.98,104,0.0043,564.0962,70.0,0.5249,0.4751,0.8877,0.0074,0.033,0.0719,0.2463
2015,Imperial,11901651.54,0.0496,525.09,23567.63,12311152.7,0.0582,543.16,24378.52,505,0.0223,2974.8522,71.0,0.5106,0.4894,0.2393,0.0156,0.7193,0.0259,0.51
2015,Inyo,555792.25,0.0128,139.23,29252.22,487923.93,0.0157,122.23,25680.21,19,0.0048,664.8297,73.0,0.5326,0.4674,,,,,0.1894
2015,Kern,26380064.23,0.0399,443.18,25786.96,24255119.6,0.0436,407.48,23709.79,1023,0.0172,2372.2028,69.0,0.521,0.479,0.6256,0.0516,0.2676,0.0551,0.3864
2015,Kings,5556275.32,0.0456,444.15,25255.8,5291844.38,0.0502,423.01,24053.84,220,0.0176,2581.6946,71.0,0.5405,0.4595,0.556,0.0421,0.3467,0.0552,0.3384
2015,Lake,3388138.99,0.021,226.24,25667.72,2932823.29,0.025,195.83,22218.36,132,0.0088,1126.5358,69.0,0.5168,0.4832,0.8743,0.0237,0.0625,0.0395,0.3182
2015,Lassen,384450.42,0.01,89.91,20234.23,368411.04,0.0113,86.16,19390.05,19,0.0044,608.2788,70.0,0.5084,0.4916,0.8966,0.0091,0.0419,0.0524,0.2343
2015,Los Angeles,295227940.45,0.0388,544.09,26052.59,266643452.99,0.0425,491.41,23530.13,11332,0.0209,2803.9314,72.0,0.5519,0.4481,0.5394,0.0889,0.1943,0.1774,0.3674
2015,Madera,3690343.99,0.0299,275.69,22779.9,3904142.29,0.0362,291.66,24099.64,162,0.0121,1700.7321,71.0,0.5166,0.4834,0.6449,0.0317,0.2817,0.0417,0.3324
2015,Marin,4009849.67,0.0135,134.83,34272.22,3032037.17,0.0139,101.95,25914.85,117,0.0039,548.1995,74.0,0.5523,0.4477,0.872,0.0179,0.0376,0.0725,0.1315
2015,Mariposa,344296.48,0.0091,83.28,20252.73,307515.17,0.01,74.39,18089.13,17,0.0041,492.985,72.0,0.5186,0.4814,0.9139,0.0068,0.0389,0.0404,0.1609
2015,Mendocino,3534441.89,0.0224,192.5,29952.9,2974235.86,0.0254,161.99,25205.39,118,0.0064,968.6292,70.0,0.5193,0.4807,0.8661,0.0074,0.0662,0.0604,0.2777
2015,Merced,11066247.94,0.0381,395.07,26161.34,9836722.4,0.0429,351.17,23254.66,423,0.0151,1985.5414,71.0,0.5327,0.4673,0.547,0.0481,0.3342,0.0707,0.3677
2015,Modoc,,,,,,,,,0,,,71.0,0.5114,0.4886,0.9031,0.0056,0.0491,0.0422,0.2578
2015,Mono,,,,,,,,,0,,,72.0,0.4672,0.5328,,,,,0.1262
2015,Monterey,16161521.41,0.0321,305.68,30095.94,12846747.04,0.0336,242.99,23923.18,537,0.0102,1407.509,73.0,0.5513,0.4487,0.6013,0.0289,0.2775,0.0923,0.2339
2015,Napa,3209023.02,0.0203,207.53,28398.43,2505403.74,0.0208,162.03,22171.71,113,0.0073,891.7416,72.0,0.5106,0.4894,0.784,0.0193,0.1381,0.0586,0.233
