COUNTY,YEAR,FAC_COUNT,STATIONS,PROF_NP,CHAIN_OWN,SURVEY_COUNT,SURVEY_RATE,FAC_STAR,XP_STAR,COMM_SCR,QUALITY_SCR,INFO_SCR,PHYS_SCR,STAFF_SCR,FAC_SCR
San Diego,2018,282,5826,0.9645390070921985,0.9078014184397163,14320,,3.206896551724138,,82.65517241379311,79.89655172413794,80.34482758620689,84.75862068965517,86.10344827586206,87.24137931034483
San Francisco,2018,110,1978,0.6727272727272727,0.7818181818181819,3348,,3.0,,85.44444444444444,79.5925925925926,75.4074074074074,87.03703703703704,84.88888888888889,86.37037037037037
San Joaquin,2018,136,2344,0.7205882352941176,0.9411764705882353,4544,,3.272727272727273,,83.27272727272727,80.45454545454545,81.45454545454545,87.45454545454545,87.27272727272727,88.18181818181819
San Luis Obispo,2018,32,440,1.0,1.0,704,,4.0,,79.5,79.5,85.5,85.5,86.5,89.5
San Mateo,2018,116,2168,0.5344827586206896,1.0,4808,,3.7714285714285714,,83.54285714285714,82.97142857142858,81.4,85.91428571428571,88.88571428571429,90.0
Santa Barbara,2018,32,714,1.0,0.5,1920,,3.75,,76.0,82.5,76.0,84.25,84.75,88.75
Santa Clara,2018,235,4871,0.48936170212765956,0.9829787234042553,7484,,3.5,,87.171875,81.390625,81.265625,89.765625,86.609375,88.734375
Santa Cruz,2018,24,372,0.3333333333333333,1.0,1384,,3.0,,84.0,78.0,81.5,88.5,86.0,87.5
Shasta,2018,16,416,0.5,1.0,680,,3.0,,77.5,79.5,80.5,81.0,83.5,86.5
Solano,2018,95,1731,0.8736842105263158,0.9473684210526315,3640,,3.4444444444444446,,88.88888888888889,81.11111111111111,81.22222222222223,90.11111111111111,87.11111111111111,88.77777777777777
Sonoma,2018,54,1022,0.4444444444444444,1.0,2024,,4.2,,82.8,83.8,83.8,85.6,90.4,91.6
Stanislaus,2018,124,2094,0.5967741935483871,1.0,4162,,3.6857142857142855,,84.4,81.31428571428572,81.08571428571429,87.97142857142858,86.88571428571429,89.45714285714286
Sutter,2018,16,360,1.0,1.0,752,,4.5,,83.5,85.0,82.5,90.0,89.0,92.0
Tehama,2018,8,120,1.0,1.0,0,,,,,,,,,
Tulare,2018,65,1271,0.8461538461538461,0.8461538461538461,2570,,4.16,,85.8,82.52,82.12,90.64,89.48,91.32
Tuolumne,2018,8,92,0.0,1.0,352,,4.0,,89.0,87.0,88.0,92.0,95.0,91.0
Ventura,2018,125,2235,1.0,0.992,3488,,4.0,,85.25,82.625,84.625,87.375,89.375,90.125
Yolo,2018,15,259,1.0,0.6666666666666666,662,,2.066666666666667,,74.93333333333334,78.26666666666667,79.53333333333333,75.46666666666667,79.86666666666666,82.8
Yuba,2018,8,120,1.0,1.0,256,,3.0,,60.0,81.0,74.0,64.0,85.0,88.0
Alameda,2019,240,4733,0.8208333333333333,1.0,7678,,3.4394904458598727,,81.63694267515923,81.51592356687898,80.42038216560509,84.6687898089172,86.96815286624204,88.44585987261146
Butte,2019,36,680,0.7777777777777778,1.0,1144,,4.333333333333333,,84.0,84.0,82.66666666666667,89.0,89.66666666666667,92.33333333333333
Columbia,2019,2,26,1.0,1.0,60,,4.0,,85.0,80.0,79.0,90.0,88.0,89.0
